case_id,track_id,transformed_feature,selected_feature,raw_feature_family,feature_value,shap_value,direction,mapping_status
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy,energy,energy,0.953,0.7350545525550842,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month_cos,release_month_cos,release_month,-1.0,0.6050322651863098,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,liveness,liveness,liveness,0.378,-0.5836531519889832,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,decade,decade,decade,2010.0,0.5776543021202087,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,loudness,loudness,loudness,-8.75,-0.5744245052337646,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,valence,valence,valence,0.199,0.5705966353416443,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,danceability,danceability,danceability,0.375,-0.3595182001590729,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month,release_month,release_month,6.0,0.31806641817092896,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,tempo,tempo,tempo,99.279,0.31490135192871094,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_danceability,energy_danceability,energy×danceability,0.357375,0.2736540734767914,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_valence,energy_valence,energy×valence,0.189647,0.21863171458244324,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,mode_0,mode,mode,0.0,0.1420532464981079,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month_sin,release_month_sin,release_month,1.2246467991473532e-16,-0.12058468163013458,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,instrumentalness,instrumentalness,instrumentalness,2.48e-06,-0.10272049903869629,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_9,key,key,1.0,-0.08663078397512436,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,danceability_valence,danceability_valence,danceability×valence,0.074625,0.07484212517738342,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,acousticness_instrumentalness,acousticness_instrumentalness,acousticness×instrumentalness,1.94928e-07,0.0735832080245018,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,speechiness_explicit,speechiness_explicit,speechiness×explicit,0.0,-0.07213908433914185,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,year_in_decade,year_in_decade,release_year,6.0,-0.0672292411327362,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_precision_year,release_precision,release_precision,0.0,0.05473873019218445,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_precision_day,release_precision,release_precision,1.0,0.05076298862695694,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_6,key,key,0.0,-0.050404153764247894,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_0,key,key,0.0,0.036260735243558884,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,time_signature_4.0,time_signature,time_signature,1.0,0.03359319642186165,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_8,key,key,0.0,-0.033268194645643234,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_1,key,key,0.0,-0.03193291649222374,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,duration_log,duration_log,duration_min,2.0952656770267213,0.027538394555449486,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,tempo_danceability,tempo_danceability,tempo×danceability,37.229625,-0.021921655163168907,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_11,key,key,0.0,-0.018043840304017067,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_liveness,energy_liveness,energy×liveness,0.360234,0.015403710305690765,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_7,key,key,0.0,0.009921402670443058,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,time_signature_3.0,time_signature,time_signature,0.0,0.00955200009047985,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key_3,key,key,0.0,-0.009272621013224125,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_precision_month,release_precision,release_precision,0.0,-0.007670524064451456,DECREASE_PREDICTION,MAPPED
